"datum","entries","entries_pos","entries_neg","sumTotal","timeframe_7d","sumTotal_last7d","timeframe_14d","sumTotal_last14d","timeframe_28d","sumTotal_last28d","timeframe_phase2","sumTotal_Phase2","timeframe_phase2b","sumTotal_Phase2b","sum7d","sum14d","mean7d","mean14d","pos_anteil","pos_anteil_mean7d","timeframe_all","anteil_pos_all","anteil_pos_14","anteil_pos_28","anteil_pos_phase2","anteil_pos_phase2b","pop","inz_entries","inzmean7d","inzmean14d","inzsumTotal","inzsumTotal_last7d","inzsumTotal_last14d","inzsumTotal_last28d","inzsumTotal_Phase2","inzsumTotal_Phase2b","inzsum7d","inzsum14d","entries_diff_last_age","entries_diff_last","type","version","datum_unit","nachweismethode","geoRegion"
2020-03-03,714,66,648,3043,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2849,NA,564.29,732.86,9.2,10.11,TRUE,11,5,4.9,11.2,13,8644780,8.26,6.53,8.48,35.2,NA,NA,NA,NA,NA,32.96,NA,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-04,593,84,509,3636,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,3125,NA,631.86,904.79,14.2,10.64,TRUE,11,5,4.9,11.2,13,8644780,6.86,7.31,10.47,42.06,NA,NA,NA,NA,NA,36.15,NA,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-05,587,132,455,4223,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,3434,NA,685.14,1216,22.5,11.63,TRUE,11,5,4.9,11.2,13,8644780,6.79,7.93,14.07,48.85,NA,NA,NA,NA,NA,39.72,NA,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-06,957,97,860,5180,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,3950,5180,850.43,1519.43,10.1,12.29,TRUE,11,5,4.9,11.2,13,8644780,11.07,9.84,17.58,59.92,NA,NA,NA,NA,NA,45.69,59.92,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-07,727,67,660,5907,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,4423,5906,1058.71,1875.86,9.2,12.39,TRUE,11,5,4.9,11.2,13,8644780,8.41,12.25,21.7,68.33,NA,NA,NA,NA,NA,51.16,68.32,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-08,744,88,656,6651,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,4796,6649,1363.14,2029.64,11.8,12.31,TRUE,11,5,4.9,11.2,13,8644780,8.61,15.77,23.48,76.94,NA,NA,NA,NA,NA,55.48,76.91,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-09,1631,147,1484,8282,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5953,8247,1941.43,2372.86,9,10.1,TRUE,11,5,4.9,11.2,13,8644780,18.87,22.46,27.45,95.8,NA,NA,NA,NA,NA,68.86,95.4,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-10,2172,215,1957,10454,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,7411,10260,2474.57,2990.07,9.9,9.96,TRUE,11,5,4.9,11.2,13,8644780,25.12,28.63,34.59,120.93,NA,NA,NA,NA,NA,85.73,118.68,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-11,2724,372,2352,13178,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,9542,12667,3119.86,3704.21,13.7,9.94,TRUE,11,5,4.9,11.2,13,8644780,31.51,36.09,42.85,152.44,NA,NA,NA,NA,NA,110.38,146.53,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-12,4635,324,4311,17813,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,13590,17024,3374.14,4349.21,7,10.31,TRUE,11,5,4.9,11.2,13,8644780,53.62,39.03,50.31,206.05,NA,NA,NA,NA,NA,157.2,196.93,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-13,4689,426,4263,22502,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,17322,21272,3895.29,4858.14,9.1,10.36,TRUE,11,5,4.9,11.2,13,8644780,54.24,45.06,56.2,260.3,NA,NA,NA,NA,NA,200.38,246.07,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-14,5244,479,4765,27746,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,21839,26262,4921.43,5262.86,9.1,10.57,TRUE,11,5,4.9,11.2,13,8644780,60.66,56.93,60.88,320.96,NA,NA,NA,NA,NA,252.63,303.79,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-15,2524,363,2161,30270,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,23619,28415,6045.29,5444.64,14.4,10.39,TRUE,11,5,4.9,11.2,13,8644780,29.2,69.93,62.98,350.15,NA,NA,NA,NA,NA,273.22,328.7,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-16,5279,489,4790,35549,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,27267,33220,6757,5802.5,9.3,11.39,TRUE,11,5,4.9,11.2,13,8644780,61.07,78.16,67.12,411.22,NA,NA,NA,NA,NA,315.42,384.28,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-17,9355,1062,8293,44904,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,34450,41861,7241.71,6061.43,11.4,12.27,TRUE,11,5,4.9,11.2,13,8644780,108.22,83.77,70.12,519.43,NA,NA,NA,NA,NA,398.51,484.23,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-18,10591,1315,9276,55495,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,42317,51859,7405.86,6414.36,12.4,13.5,TRUE,11,5,4.9,11.2,13,8644780,122.51,85.67,74.2,641.95,NA,NA,NA,NA,NA,489.51,599.89,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-19,9617,1346,8271,65112,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,47299,60889,7515.14,6644.86,14,14.93,TRUE,11,5,4.9,11.2,13,8644780,111.25,86.93,76.87,753.19,NA,NA,NA,NA,NA,547.14,704.34,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-20,8082,1240,6842,73194,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,50692,68014,7709.71,6824,15.3,16.31,TRUE,11,5,4.9,11.2,13,8644780,93.49,89.18,78.94,846.68,NA,NA,NA,NA,NA,586.39,786.76,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-21,6393,1133,5260,79587,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,51841,73680,7201.43,6861.07,17.7,18.41,TRUE,11,5,4.9,11.2,13,8644780,73.95,83.3,79.37,920.64,NA,NA,NA,NA,NA,599.68,852.31,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-22,3289,804,2485,82876,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,52606,76225,6783.43,6877.93,24.4,18.84,TRUE,11,5,4.9,11.2,13,8644780,38.05,78.47,79.56,958.68,NA,NA,NA,NA,NA,608.53,881.75,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-23,6641,1259,5382,89517,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,53968,81235,6532.71,6821.43,19,19.23,TRUE,11,5,4.9,11.2,13,8644780,76.82,75.57,78.91,1035.5,NA,NA,NA,NA,NA,624.28,939.7,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-24,5797,1514,4283,95314,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,50410,84860,6406.29,6661.86,26.1,19.7,TRUE,11,5,4.9,11.2,13,8644780,67.06,74.11,77.06,1102.56,NA,NA,NA,NA,NA,583.13,981.63,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-25,7665,1183,6482,102979,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,47484,89801,6316.29,6380.86,15.4,19.67,TRUE,11,5,4.9,11.2,13,8644780,88.67,73.06,73.81,1191.23,NA,NA,NA,NA,NA,549.28,1038.79,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-26,7862,1313,6549,110841,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,45729,93028,6240.71,6191.07,16.7,19.17,TRUE,11,5,4.9,11.2,13,8644780,90.95,72.19,71.62,1282.17,NA,NA,NA,NA,NA,528.98,1076.12,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-27,7197,1339,5858,118038,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,44844,95536,5933.14,6079,18.6,19.94,TRUE,11,5,4.9,11.2,13,8644780,83.25,68.63,70.32,1365.43,NA,NA,NA,NA,NA,518.74,1105.13,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-28,5763,1006,4757,123801,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,44214,96055,6122.29,5994.07,17.5,18.99,TRUE,11,5,4.9,11.2,13,8644780,66.66,70.82,69.34,1432.09,NA,NA,NA,NA,NA,511.45,1111.13,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-29,2760,576,2184,126561,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,43685,96291,5978.29,5995.21,20.9,19.2,TRUE,11,5,4.9,11.2,13,8644780,31.93,69.15,69.35,1464.02,NA,NA,NA,NA,NA,505.33,1113.86,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-30,4488,1097,3391,131049,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,41532,95500,5849.43,5814.07,24.4,19,TRUE,11,5,4.9,11.2,13,8644780,51.92,67.66,67.26,1515.93,NA,NA,NA,NA,NA,480.43,1104.71,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-03-31,7121,1382,5739,138170,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,42856,93266,5751.71,5889.64,19.4,18.61,TRUE,11,5,4.9,11.2,13,8644780,82.37,66.53,68.13,1598.31,NA,NA,NA,NA,NA,495.74,1078.87,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-01,6657,1126,5531,144827,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,41848,89332,5671.86,5810.79,16.9,18.04,TRUE,11,5,4.9,11.2,13,8644780,77.01,65.61,67.22,1675.31,NA,NA,NA,NA,NA,484.08,1033.36,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-02,6960,1063,5897,151787,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,40946,86675,5749.71,5678.93,15.3,16.74,TRUE,11,5,4.9,11.2,13,8644780,80.51,66.51,65.69,1755.82,NA,NA,NA,NA,NA,473.65,1002.63,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-03,6513,1038,5475,158300,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,40262,85106,5695,5449.07,15.9,15.87,TRUE,11,5,4.9,11.2,13,8644780,75.34,65.88,63.03,1831.16,NA,NA,NA,NA,NA,465.74,984.48,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-04,5204,705,4499,163504,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,39703,83917,5657,5236.79,13.5,15.13,TRUE,11,5,4.9,11.2,13,8644780,60.2,65.44,60.58,1891.36,NA,NA,NA,NA,NA,459.27,970.72,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-05,3305,389,2916,166809,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,40248,83933,5643.29,5203.86,11.8,14.44,TRUE,11,5,4.9,11.2,13,8644780,38.23,65.28,60.2,1929.59,NA,NA,NA,NA,NA,465.58,970.91,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-06,4105,752,3353,170914,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,39865,81397,5508.43,5040.07,18.3,13.97,TRUE,11,5,4.9,11.2,13,8644780,47.49,63.72,58.3,1977.08,NA,NA,NA,NA,NA,461.15,941.57,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-07,6855,974,5881,177769,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,39599,82455,5146.43,4811.57,14.2,13.24,TRUE,11,5,4.9,11.2,13,8644780,79.3,59.53,55.66,2056.37,NA,NA,NA,NA,NA,458.07,953.81,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-08,6561,797,5764,184330,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,39503,81351,4801.71,4735.14,12.1,13.24,TRUE,11,5,4.9,11.2,13,8644780,75.9,55.54,54.77,2132.27,NA,NA,NA,NA,NA,456.96,941.04,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-09,6016,722,5294,190346,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,38559,79505,4658,4604.5,12,13.29,TRUE,11,5,4.9,11.2,13,8644780,69.59,53.88,53.26,2201.86,NA,NA,NA,NA,NA,446.04,919.69,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-10,3979,429,3550,194325,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,36025,76287,4385.14,4467.64,10.8,12.61,TRUE,11,5,4.9,11.2,13,8644780,46.03,50.73,51.68,2247.89,NA,NA,NA,NA,NA,416.73,882.46,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-11,2791,376,2415,197116,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,33612,73315,3966.14,4359.71,13.5,12.26,TRUE,11,5,4.9,11.2,13,8644780,32.29,45.88,50.43,2280.17,NA,NA,NA,NA,NA,388.81,848.08,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-12,2299,279,2020,199415,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,32606,72854,3827,4275,12.1,11.71,TRUE,11,5,4.9,11.2,13,8644780,26.59,44.27,49.45,2306.77,NA,NA,NA,NA,NA,377.18,842.75,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-13,2195,298,1897,201610,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,30696,70561,3700.57,4226.79,13.6,11.3,TRUE,11,5,4.9,11.2,13,8644780,25.39,42.81,48.89,2332.16,NA,NA,NA,NA,NA,355.08,816.23,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-14,3922,460,3462,205532,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,27763,67362,3788.86,4091.93,11.7,10.96,TRUE,11,5,4.9,11.2,13,8644780,45.37,43.83,47.33,2377.53,NA,NA,NA,NA,NA,321.15,779.22,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-15,5587,464,5123,211119,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,26789,66292,3917.71,3954.43,8.3,10.06,TRUE,11,5,4.9,11.2,13,8644780,64.63,45.32,45.74,2442.16,NA,NA,NA,NA,NA,309.89,766.84,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-16,5131,466,4665,216250,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,25904,64463,3892,3848.64,9.1,9.03,TRUE,11,5,4.9,11.2,13,8644780,59.35,45.02,44.52,2501.51,NA,NA,NA,NA,NA,299.65,745.69,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-17,4597,386,4211,220847,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,26522,62547,4068.43,3906.07,8.4,8.3,TRUE,11,5,4.9,11.2,13,8644780,53.18,47.06,45.18,2554.69,NA,NA,NA,NA,NA,306.8,723.52,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-18,3693,267,3426,224540,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,27424,61036,4217.71,3994.71,7.2,7.57,TRUE,11,5,4.9,11.2,13,8644780,42.72,48.79,46.21,2597.41,NA,NA,NA,NA,NA,317.23,706.04,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-19,2119,103,2016,226659,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,27244,59850,4081.86,3999.21,4.9,7.23,TRUE,11,5,4.9,11.2,13,8644780,24.51,47.22,46.26,2621.92,NA,NA,NA,NA,NA,315.15,692.33,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-20,3430,292,3138,230089,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,28479,59175,3996.71,4110.14,8.5,6.81,TRUE,11,5,4.9,11.2,13,8644780,39.68,46.23,47.54,2661.59,NA,NA,NA,NA,NA,329.44,684.52,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-21,4967,329,4638,235056,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,29524,57287,4023.29,4229.5,6.6,6.31,TRUE,11,5,4.9,11.2,13,8644780,57.46,46.54,48.93,2719.05,NA,NA,NA,NA,NA,341.52,662.68,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-22,4636,275,4361,239692,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,28573,55362,4071.71,4245.43,5.9,5.8,TRUE,11,5,4.9,11.2,13,8644780,53.63,47.1,49.11,2772.68,NA,NA,NA,NA,NA,330.52,640.41,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-23,4535,280,4255,244227,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,27977,53881,4106.43,4225.21,6.2,5.66,TRUE,11,5,4.9,11.2,13,8644780,52.46,47.5,48.88,2825.14,NA,NA,NA,NA,NA,323.63,623.28,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-24,4783,233,4550,249010,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,28163,54685,4151.86,4214.14,4.9,5.21,TRUE,11,5,4.9,11.2,13,8644780,55.33,48.03,48.75,2880.47,NA,NA,NA,NA,NA,325.78,632.58,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-25,4032,145,3887,253042,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,28502,55926,4241.29,4173.36,3.6,4.86,TRUE,11,5,4.9,11.2,13,8644780,46.64,49.06,48.28,2927.11,NA,NA,NA,NA,NA,329.7,646.93,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-26,2362,92,2270,255404,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,28745,55989,4409,4201.71,3.9,4.47,TRUE,11,5,4.9,11.2,13,8644780,27.32,51,48.6,2954.43,NA,NA,NA,NA,NA,332.51,647.66,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-27,3748,203,3545,259152,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,29063,57542,4453.71,4232.57,5.4,4.19,TRUE,11,5,4.9,11.2,13,8644780,43.36,51.52,48.96,2997.79,NA,NA,NA,NA,NA,336.19,665.63,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-28,5593,231,5362,264745,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,29689,59213,4405,4298.5,4.1,3.96,TRUE,11,5,4.9,11.2,13,8644780,64.7,50.96,49.72,3062.48,NA,NA,NA,NA,NA,343.43,684.96,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-29,5810,188,5622,270555,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,30863,59436,4275,4350.57,3.2,3.81,TRUE,11,5,4.9,11.2,13,8644780,67.21,49.45,50.33,3129.69,NA,NA,NA,NA,NA,357.01,687.54,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-04-30,4848,206,4642,275403,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,31176,59153,4297,4359.86,4.2,3.51,TRUE,11,5,4.9,11.2,13,8644780,56.08,49.71,50.43,3185.77,NA,NA,NA,NA,NA,360.63,684.26,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-05-01,4442,148,4294,279845,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,30835,58998,4313.29,4329.21,3.3,3.21,TRUE,11,5,4.9,11.2,13,8644780,51.38,49.89,50.08,3237.16,NA,NA,NA,NA,NA,356.69,682.47,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-05-02,3122,80,3042,282967,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,29925,58427,4355.71,4265.14,2.6,2.91,TRUE,11,5,4.9,11.2,13,8644780,36.11,50.39,49.34,3273.27,NA,NA,NA,NA,NA,346.16,675.86,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-05-03,2516,46,2470,285483,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,30079,58824,4292.14,4198,1.8,2.81,TRUE,11,5,4.9,11.2,13,8644780,29.1,49.65,48.56,3302.37,NA,NA,NA,NA,NA,347.94,680.46,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-05-04,3862,127,3735,289345,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,30193,59256,4266,4292.29,3.3,2.47,TRUE,11,5,4.9,11.2,13,8644780,44.67,49.35,49.65,3347.05,NA,NA,NA,NA,NA,349.26,685.45,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-05-05,5890,119,5771,295235,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,30490,60179,4253.43,4290.36,2,2.33,TRUE,11,5,4.9,11.2,13,8644780,68.13,49.2,49.63,3415.18,NA,NA,NA,NA,NA,352.7,696.13,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
2020-05-06,5365,134,5231,300600,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,30045,60908,4255.29,4320.36,2.5,2.29,TRUE,11,5,4.9,11.2,13,8644780,62.06,49.22,49.98,3477.24,NA,NA,NA,NA,NA,347.55,704.56,1,31691,"COVID19Tests","2021-03-23_07-48-19","day","all","CHFL"
